date,high_T,low_T,skycon,skycon2
2015/10/6,24,19,cloudy,cloudy
2015/10/7,22,18,rain,rain
2015/10/8,19,15,cloudy,cloudy
2015/10/9,22,12,partly_cloudy_day,cloudy
2015/10/10,23,10,clear_day,clear_day
2015/10/11,20,10,clear_day,clear_day
2015/10/12,22,11,clear_day,clear_day
2015/10/13,24,13,clear_day,clear_day
2015/10/14,24,13,partly_cloudy_day,cloudy
2015/10/15,25,14,clear_day,clear_day
2015/10/16,26,15,clear_day,clear_day
2015/10/17,26,14,clear_day,clear_day
2015/10/18,25,14,clear_day,clear_day
2015/10/19,24,15,partly_cloudy_day,cloudy
2015/10/20,25,16,partly_cloudy_day,cloudy
2015/10/21,25,16,partly_cloudy_day,cloudy
2015/10/22,25,16,partly_cloudy_day,cloudy
2015/10/23,25,17,partly_cloudy_day,cloudy
2015/10/24,25,17,partly_cloudy_day,cloudy
2015/10/25,23,16,partly_cloudy_day,cloudy
2015/10/26,24,14,rain,rain
2015/10/27,19,11,partly_cloudy_day,cloudy
2015/10/28,20,12,cloudy,cloudy
2015/10/29,18,12,cloudy,cloudy
2015/10/30,18,10,partly_cloudy_day,cloudy
2015/10/31,17,11,partly_cloudy_day,cloudy
2015/11/1,17,8,partly_cloudy_day,cloudy
2015/11/2,18,8,clear_day,clear_day
2015/11/3,20,11,partly_cloudy_day,cloudy
2015/11/4,21,14,cloudy,cloudy
2015/11/5,23,16,cloudy,cloudy
2015/11/6,26,19,rain,rain
2015/11/7,17,12,rain,rain
2015/11/8,13,9,rain,rain
2015/11/9,13,8,partly_cloudy_day,cloudy
2015/11/10,15,9,partly_cloudy_day,cloudy
2015/11/11,16,10,cloudy,cloudy
2015/11/12,16,13,rain,rain
2015/11/13,16,12,cloudy,cloudy
2015/11/14,17,10,partly_cloudy_day,cloudy
2015/11/15,18,11,cloudy,cloudy
2015/11/16,17,13,cloudy,cloudy
2015/11/17,15,12,rain,rain
2015/11/18,15,11,rain,rain
2015/11/19,14,11,rain,rain
2015/11/20,16,11,cloudy,cloudy
2015/11/21,16,13,cloudy,cloudy
2015/11/22,17,14,rain,rain
2015/11/23,16,10,rain,rain
2015/11/24,11,3,rain,rain
2015/11/25,5,0,partly_cloudy_day,cloudy
2015/11/26,3,-4,clear_day,clear_day
2015/11/27,5,-2,clear_day,clear_day
2015/11/28,12,3,partly_cloudy_day,cloudy
2015/11/29,16,6,partly_cloudy_day,cloudy
2015/11/30,15,5,partly_cloudy_day,cloudy
2015/12/1,17,10,partly_cloudy_day,cloudy
