date,date_type_Org,date_type,dayOfWeek
2016/8/25,5,0,4
2016/8/26,6,0,5
2016/8/27,7,0,6
2016/8/28,1,0,7
2016/8/29,2,0,1
2016/8/30,3,0,2
2016/8/31,4,0,3
2016/9/1,5,0,4
2016/9/2,6,0,5
2016/9/3,7,0,6
2016/9/4,1,0,7
2016/9/5,2,0,1
2016/9/6,3,0,2
2016/9/7,4,0,3
2016/9/8,5,0,4
2016/9/9,6,0,5
2016/9/10,7,0,6
2016/9/11,1,0,7
2016/9/12,2,0,1
2016/9/13,3,0,2
2016/9/14,4,0,3
2016/9/15,zhongqiu,zhongqiu,4
2016/9/16,zhongqiu,zhongqiu,5
2016/9/17,zhongqiu,zhongqiu,6
2016/9/18,wd_Shift,wd_Shift,7
2016/9/19,2,0,1
2016/9/20,3,0,2
2016/9/21,4,0,3
2016/9/22,5,0,4
2016/9/23,6,0,5
2016/9/24,7,0,6
2016/9/25,1,0,7
2016/9/26,2,0,1
2016/9/27,3,0,2
2016/9/28,4,0,3
2016/9/29,5,0,4
2016/9/30,6,0,5
2016/10/1,shiyi,shiyi,6
2016/10/2,shiyi,shiyi,7
2016/10/3,shiyi,shiyi,1
2016/10/4,shiyi,shiyi,2
2016/10/5,shiyi,shiyi,3
2016/10/6,shiyi,shiyi,4
2016/10/7,shiyi,shiyi,5
2016/10/8,wd,wd,6
2016/10/9,wd,wd,7
2016/10/10,2,0,1
2016/10/11,3,0,2
2016/10/12,4,0,3
2016/10/13,5,0,4
2016/10/14,6,0,5
2016/10/15,7,0,6
2016/10/16,1,0,7
2016/10/17,2,0,1
2016/10/18,3,0,2
2016/10/19,4,0,3
2016/10/20,5,0,4
2016/10/21,6,0,5
2016/10/22,7,0,6
2016/10/23,1,0,7
2016/10/24,2,0,1
2016/10/25,3,0,2
2016/10/26,4,0,3
2016/10/27,5,0,4
2016/10/28,6,0,5
2016/10/29,7,0,6
2016/10/30,1,0,7
2016/10/31,2,0,1
2016/11/1,3,0,2
